strategy,trades,ending_bankroll,total_return,max_drawdown,win_rate,profit_factor,worst_144_return,median_144_return,positive_144_rate,active_144_rate,worst_864_return,median_864_return,positive_864_rate,active_864_rate,split,family
timeseries_momentum_down,1,95.9322033898305,-0.04067796610169494,0.04067796610169495,0.0,0.0,-0.04067796610169494,0.0,0.0,0.2796116504854369,,,,,test,time_series
timeseries_reversion_down,35,73.28934765550895,-0.2671065234449105,0.387654853660107,0.17142857142857143,0.6706138820089873,-0.2662753654548795,-0.10190093484524876,0.19029126213592232,1.0,,,,,test,time_series
ml_logit_edge_06,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,test,ml_value
ml_logit_edge_10,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,test,ml_value
portfolio_micro_ts_mix,43,75.79153488496452,-0.24208465115035482,0.25956442311383043,0.2558139534883721,0.71676829254087,-0.16206763648912326,-0.05294337930525972,0.23883495145631067,1.0,,,,,test,portfolio
portfolio_conservative_v2,3,93.8398049002683,-0.06160195099731691,0.06160195099731695,0.3333333333333333,0.32092900605453983,-0.06160195099731702,0.0,0.0,0.3378640776699029,,,,,test,portfolio
v1_active_fill_mix,108,214.8446379941809,1.148446379941809,0.38152808186021686,0.7870370370370371,1.383714854079366,-0.2604637835019855,0.05897644105675748,0.6536761751707513,0.9570108477300121,-0.16577493432535761,0.22250778699949958,0.7580553985302431,1.0,full,previous_v1
v1_conservative_mix,83,164.97712786077904,0.6497712786077903,0.4047488773748631,0.7710843373493976,1.3007988679782436,-0.3084788377841431,0.05423728813559325,0.6243471273603857,0.9570108477300121,-0.23312411599756067,0.1483299747515323,0.684567552289429,1.0,full,previous_v1
v1_balanced_mix,87,195.4935122374676,0.954935122374676,0.4814086777659889,0.7816091954022989,1.2962785969980435,-0.3732678016280264,0.06779661016949157,0.6259541984732825,0.9570108477300121,-0.2614810180750007,0.19486203507155286,0.70944036178632,1.0,full,previous_v1
v1_adaptive_mix,83,186.6130441288799,0.8661304412887989,0.4465287261087372,0.7710843373493976,1.2926302267187455,-0.34561719236008437,0.06115694915254344,0.6347930895942145,0.9570108477300121,-0.24185424502817976,0.1707274023100731,0.7037874505370265,1.0,full,previous_v1
v1_logit_overlay_mix,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,full,previous_v1
classic_milddrop_down,120,64.32771177084275,-0.35672288229157245,0.525876586243318,0.6416666666666667,0.8324373770356612,-0.24997237116980886,-0.012627229786051908,0.44877460827641624,1.0,-0.4284299638833401,-0.1432507961950532,0.23911814584511024,1.0,full,classic_quant
classic_breakout_up,48,141.08577644922613,0.4108577644922613,0.0810673049200502,0.8541666666666666,2.1252792702653425,-0.05072266496867228,0.009638554216867545,0.6677380474085979,0.7999196464443552,0.012085780891538,0.10610065355832043,1.0,1.0,full,classic_quant
classic_early_drop_down,172,153.85850557996582,0.5385850557996583,0.15705661301915427,0.7848837209302325,1.2834486151605544,-0.13504466016949934,0.021346105599315157,0.5729208517476898,1.0,0.004979251500782489,0.17307083976615267,1.0,1.0,full,classic_quant
