strategy,first_quote_ts,run_name,market_id,session_et,component,side,entry_minute,fraction,target_cost,entry_price,pnl_usd,event_ret,bankroll_after,recent_tail_flag,split
v1_conservative_mix,2026-04-28 18:30:00+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777401000,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,12.775113457322343,0.75,4.08803630634315,0.0256,163.77695452287244,False,train
v1_conservative_mix,2026-04-28 19:10:02+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777403400,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,13.102156361829795,0.57,9.654220477137745,0.05894736842105264,173.4311750000102,False,train
v1_conservative_mix,2026-04-28 19:45:02+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777405500,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,13.874494000000816,0.61,8.643127409836573,0.04983606557377049,182.07430240984678,False,train
v1_conservative_mix,2026-04-29 06:20:00+00:00,25044896828_attempt1,25044896828_attempt1::btc-updown-5m-1777443600,london,london_milddrop,buy_down,2,0.06,10.924458144590806,0.6,7.100897793984025,0.039,189.1752002038308,False,train
v1_conservative_mix,2026-04-29 10:10:02+00:00,25044896828_attempt1,25044896828_attempt1::btc-updown-5m-1777457400,london,london_milddrop,buy_down,2,0.06,11.350512012229848,0.71,4.476258258344166,0.02366197183098592,193.65145846217496,False,train
v1_conservative_mix,2026-04-29 17:15:00+00:00,25044896828_attempt1,25044896828_attempt1::btc-updown-5m-1777482900,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,15.492116676973996,0.69,-15.716640107075069,-0.08115942028985507,177.93481835509988,False,train
v1_conservative_mix,2026-04-29 17:35:01+00:00,25044896828_attempt1,25044896828_attempt1::btc-updown-5m-1777484100,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,14.23478546840799,0.6,-14.472031892881455,-0.08133333333333333,163.46278646221842,False,train
v1_conservative_mix,2026-04-29 19:20:01+00:00,25044896828_attempt1,25044896828_attempt1::btc-updown-5m-1777490400,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,13.077022916977473,0.63,-13.28459470931045,-0.08126984126984128,150.17819175290796,False,train
v1_conservative_mix,2026-04-30 00:25:02+00:00,25044896828_attempt1,25044896828_attempt1::btc-updown-5m-1777508700,asia,asia_breakout,buy_up,4,0.08,12.014255340232637,0.78,3.234607206985709,0.02153846153846153,153.41279895989368,False,train
v1_conservative_mix,2026-04-30 06:20:02+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777530000,london,london_milddrop,buy_down,2,0.06,9.20476793759362,0.63,5.259867392910641,0.03428571428571429,158.67266635280433,False,train
v1_conservative_mix,2026-04-30 06:55:00+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777532100,london,london_milddrop,buy_down,2,0.06,9.520359981168259,0.66,4.760179990584128,0.029999999999999992,163.43284634338846,False,train
v1_conservative_mix,2026-04-30 07:45:01+00:00,25100490855_attempt1,25100490855_attempt1::btc-updown-5m-1777535100,london,london_milddrop,buy_down,2,0.06,9.805970780603307,0.56,-9.981077401685509,-0.06107142857142857,153.45176894170297,False,train
