strategy,sizing,trades,ending_bankroll,total_return,avg_trade_return_on_cost,max_drawdown,source_layer
classic_trend_down_price,half_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_down_midrange,full_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_down_midrange,half_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_down_midrange,quarter_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_down_score4,half_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_up_score3,full_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_up_score3,half_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_up_score3,quarter_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_neutral_value_up,full_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_neutral_value_up,quarter_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_down_score3,half_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_down_score3,quarter_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_down_score4,full_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_down_basic,full_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_down_basic,half_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_down_basic,quarter_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_down_score3,full_kelly_capped20,0,100.0,0.0,,0.0,classic
rolling_rule_drop10_down_q,half_kelly_capped20,0,100.0,0.0,,0.0,classic
rolling_rule_drop10_down_q,full_kelly_capped20,0,100.0,0.0,,0.0,classic
rolling_rule_drop10_down_q,quarter_kelly_capped20,0,100.0,0.0,,0.0,classic
rolling_rule_drop10_down,quarter_kelly_capped20,0,100.0,0.0,,0.0,classic
rule_drop30_down,quarter_kelly,0,100.0,0.0,,0.0,bankroll
rule_rise30to50_up,quarter_kelly,0,100.0,0.0,,0.0,bankroll
rule_rise30to50_up,half_kelly,0,100.0,0.0,,0.0,bankroll
rule_rise30to50_up,full_kelly,0,100.0,0.0,,0.0,bankroll
rule_rise30to50_up_pricecap80,fixed_10pct,12,99.70222210941802,-0.0029777789058198,0.0504859975237875,0.2385884545554578,optimizer
rule_drop10_down_good_liq250,quarter_kelly,5,99.52372358256872,-0.0047627641743126,0.0120415507975401,0.074066639903653,optimizer
rule_drop10_down_good_liq250,quarter_kelly_capped20,5,99.52372358256872,-0.0047627641743126,0.0120415507975401,0.074066639903653,optimizer
classic_trend_up_basic,fixed_10pct,20,99.17257303894704,-0.0082742696105294,0.034016271599727,0.2260475585128417,classic
rule_rise30to50_up,fixed_10pct,20,99.17257303894704,-0.0082742696105294,0.034016271599727,0.2260475585128417,optimizer
rule_rise30to50_up,fixed_10pct,20,99.17257303894704,-0.0082742696105294,0.034016271599727,0.2260475585128417,bankroll
rule_rise30to50_up_size_pos,fixed_10pct,11,99.00168264962716,-0.0099831735037284,0.0089344664474598,0.1570669891147155,optimizer
rule_rise30to50_up_good_liq250,fixed_10pct,6,98.98785821971624,-0.0101214178028375,-0.0057445571441068,0.1014084507042253,optimizer
pressure_up_confirm,fixed_10pct,6,98.98785821971624,-0.0101214178028375,-0.0057445571441068,0.1014084507042253,extended_classic
rule_drop10_down_combo75_neg,fixed_10pct,23,98.6880055372264,-0.013119944627736,0.0212271864275536,0.3275134630608666,optimizer
rule_drop10_down_good_liq250,half_kelly_capped20,5,98.10189725928096,-0.0189810274071904,0.0120415507975401,0.1481332798073062,optimizer
rule_drop10_down_good_liq250,half_kelly,5,98.10189725928096,-0.0189810274071904,0.0120415507975401,0.1481332798073062,optimizer
pressure_up_confirm,fixed_15pct,6,97.94562423117894,-0.0205437576882105,-0.0057445571441068,0.152112676056338,extended_classic
rule_drop10_down_combo80_liq,quarter_kelly_capped20,4,97.7087809291222,-0.022912190708778,0.2684765960311717,0.0740666399036531,optimizer
rule_drop10_down_combo80_liq,quarter_kelly,4,97.7087809291222,-0.022912190708778,0.2684765960311717,0.0740666399036531,optimizer
classic_trend_down_price,fixed_15pct,57,97.65056624850716,-0.0234943375149285,0.0602040653613856,0.5880033469552879,classic
rule_rise30to50_up_pricecap80,quarter_kelly_capped20,3,97.609611890918,-0.02390388109082,0.0283125866568795,0.0775824652777777,optimizer
rule_rise30to50_up_pricecap80,quarter_kelly,3,97.609611890918,-0.02390388109082,0.0283125866568795,0.0775824652777777,optimizer
rule_drop30_down,quarter_kelly_capped20,6,97.49888014156772,-0.0250111985843228,-0.0651629584268897,0.0839187399073135,optimizer
rule_drop30_down,quarter_kelly,6,97.49888014156772,-0.0250111985843228,-0.0651629584268897,0.0839187399073135,optimizer
regime_neutral_value_up,fixed_10pct,3,97.21716226415094,-0.0278283773584905,-0.036592338479131,0.1898569811320754,extended_classic
rule_rise30to50_up_good_liq250,fixed_20pct,6,96.5131743802247,-0.034868256197753,-0.0057445571441068,0.2028169014084507,optimizer
pressure_up_confirm,fixed_20pct,6,96.5131743802247,-0.034868256197753,-0.0057445571441068,0.2028169014084507,extended_classic
value_down_margin5,fixed_10pct,29,95.16540525359352,-0.0483459474640648,0.0592670860731926,0.4303164140776555,classic
rule_drop10_down_size_strong_neg,quarter_kelly_capped20,11,95.0482051725362,-0.0495179482746378,-0.1637857925869993,0.0660828722598499,optimizer
rule_drop10_down_size_strong_neg,quarter_kelly,11,95.0482051725362,-0.0495179482746378,-0.1637857925869993,0.0660828722598499,optimizer
price_interval_down_65_80,fixed_20pct,42,94.7550942271164,-0.0524490577288361,0.0587628356022919,0.5976465904457503,extended_classic
rule_drop10_down_combo80_liq,half_kelly,4,94.74174436754376,-0.0525825563245625,0.2684765960311717,0.1481332798073062,optimizer
rule_drop10_down_combo80_liq,half_kelly_capped20,4,94.74174436754376,-0.0525825563245625,0.2684765960311717,0.1481332798073062,optimizer
pressure_up_confirm,fixed_25pct,6,94.6648160674283,-0.0533518393257169,-0.0057445571441068,0.2535211267605634,extended_classic
rule_drop30_down,half_kelly_capped20,6,94.5687619803552,-0.0543123801964481,-0.0651629584268897,0.1642307153073594,optimizer
rule_drop30_down,half_kelly,6,94.5687619803552,-0.0543123801964481,-0.0651629584268897,0.1642307153073594,optimizer
rule_rise30to50_up_pricecap80,half_kelly,3,94.40215835710764,-0.0559784164289234,0.0283125866568794,0.1551649305555555,optimizer
rule_rise30to50_up_pricecap80,half_kelly_capped20,3,94.40215835710764,-0.0559784164289234,0.0283125866568794,0.1551649305555555,optimizer
classic_trend_up_basic,fixed_15pct,20,94.3879479582636,-0.056120520417364,0.034016271599727,0.3291679640836172,classic
rule_drop10_down_combo80_neg,quarter_kelly,9,93.66987915129252,-0.0633012084870746,-0.2738292071650104,0.1001931723037082,optimizer
rule_drop10_down_combo80_neg,quarter_kelly_capped20,9,93.66987915129252,-0.0633012084870746,-0.2738292071650104,0.1001931723037082,optimizer
rule_rise30to50_up_size_pos,fixed_20pct,11,93.53955162757042,-0.0646044837242958,0.0089344664474598,0.3187215151297595,optimizer
price_interval_down_60_80,fixed_10pct,48,93.49263597121995,-0.0650736402878002,0.0247488994993917,0.4371309207933434,extended_classic
rule_interval_best,fixed_10pct,70,93.19028885785046,-0.0680971114214954,0.036386534711619,0.4702858001079262,bankroll
value_up_margin2,fixed_10pct,9,93.02629813583222,-0.0697370186416778,-0.0382218663153152,0.2385884545554578,classic
value_down_margin5,fixed_10pct,28,92.96293734410064,-0.0703706265589936,0.0569394215651192,0.3046399564902471,extended_classic
rule_drop10_to30_down,fixed_10pct,50,92.82516066869933,-0.0717483933130067,0.0373346399563758,0.4281230818011278,optimizer
price_interval_down_55_75,fixed_10pct,37,92.61949692985672,-0.0738050307014327,0.0220125145259563,0.4401989944868461,extended_classic
rule_drop10_down,quarter_kelly,43,92.27929454387626,-0.0772070545612373,0.0098802348756036,0.3195027055455633,optimizer
rule_drop10_down,quarter_kelly_capped20,43,92.27929454387626,-0.0772070545612373,0.0098802348756036,0.3195027055455633,optimizer
rule_drop10_down_good_liq250,full_kelly,5,92.20312230233772,-0.0779687769766226,0.0120415507975401,0.2962665596146125,optimizer
rule_rise30to50_up_pricecap80,fixed_20pct,12,91.89225287544312,-0.0810774712455686,0.0504859975237875,0.443470997862173,optimizer
rule_drop10_to50_down,quarter_kelly_capped20,41,91.425205704222,-0.0857479429577798,-0.0088751779198839,0.3235092960398776,optimizer
rule_drop10_to50_down,quarter_kelly,41,91.425205704222,-0.0857479429577798,-0.0088751779198839,0.3235092960398776,optimizer
value_up_margin2,fixed_10pct,8,91.18578914243854,-0.0881421085756146,-0.0875201475499351,0.2385884545554578,extended_classic
classic_trend_down_combo,fixed_10pct,15,90.8565756286276,-0.091434243713724,-0.0380323442803478,0.2442021240403432,classic
value_down_margin5,quarter_kelly_capped20,28,89.79390023110668,-0.1020609976889332,0.0569394215651192,0.3795840236526709,extended_classic
value_down_margin2,fixed_10pct,32,89.7929494848538,-0.1020705051514618,0.0383648146109737,0.4001231840237713,classic
rule_rise30to50_up_size_pos,quarter_kelly_capped20,2,89.60078410543424,-0.1039921589456576,-0.2682362833718731,0.1442447790189412,optimizer
rule_rise30to50_up_size_pos,quarter_kelly,2,89.60078410543424,-0.1039921589456576,-0.2682362833718731,0.1442447790189412,optimizer
rule_drop10_down_size_strong_neg,half_kelly_capped20,11,89.51707767688741,-0.1048292232311258,-0.1637857925869993,0.1345071799743589,optimizer
rule_drop10_down_size_strong_neg,half_kelly,11,89.51707767688741,-0.1048292232311258,-0.1637857925869993,0.1345071799743589,optimizer
value_down_margin2_book,quarter_kelly_capped20,8,89.17425140201512,-0.1082574859798488,-0.2101480234255301,0.1758191768418176,classic
rule_drop10_to30_down,quarter_kelly_capped20,34,88.83790796365861,-0.1116209203634138,0.0294398544640544,0.2987131405524799,optimizer
rule_drop10_to30_down,quarter_kelly,34,88.83790796365861,-0.1116209203634138,0.0294398544640544,0.2987131405524799,optimizer
rule_drop10_down_size_neg,quarter_kelly,13,88.67987098908344,-0.1132012901091655,-0.2945203241186569,0.1277567718094474,optimizer
rule_drop10_down_size_neg,quarter_kelly_capped20,13,88.67987098908344,-0.1132012901091655,-0.2945203241186569,0.1277567718094474,optimizer
