strategy,sizing,first_quote_ts,slug,side,entry_price,qhat_for_side,target_cost,shares,best_price_max_cost,outcome_up,pnl_usd,bankroll_after
model_value_random_forest,quarter_kelly,2026-04-26 12:20:01+00:00,btc-updown-5m-1777206000,buy_down,0.19,0.22071031746031722,0.7379527772659388,3.883961985610204,91.7415,0.0,3.1071695884881634,80.96266559341109
model_value_random_forest,quarter_kelly,2026-04-26 12:25:00+00:00,btc-updown-5m-1777206300,buy_up,0.61,0.786975681725682,9.184886498539965,15.057190981213058,14.267900000000001,0.0,-9.335458408352096,71.62720718505899
model_value_random_forest,quarter_kelly,2026-04-26 12:30:02+00:00,btc-updown-5m-1777206600,buy_down,0.48,0.8196507936507937,11.696268157401501,24.367225327919797,63.51840000000001,0.0,12.427284917239097,84.05449210229808
model_value_random_forest,quarter_kelly,2026-04-26 12:35:01+00:00,btc-updown-5m-1777206900,buy_down,0.41,0.42318253968253994,0.46951342272639246,1.145154689576567,69.6385,1.0,-0.4809649696221581,83.57352713267592
model_value_random_forest,quarter_kelly,2026-04-26 12:40:01+00:00,btc-updown-5m-1777207200,buy_down,0.8,0.847478835978836,4.959967233631397,6.199959042039246,168.12800000000001,0.0,1.1779922179874565,84.75151935066337
model_value_random_forest,quarter_kelly,2026-04-26 12:45:01+00:00,btc-updown-5m-1777207500,buy_up,0.01,0.23053403078403079,4.719847014513277,471.98470145132774,5.421,0.0,-9.439694029026555,75.31182532163682
model_value_random_forest,quarter_kelly,2026-04-26 12:50:01+00:00,btc-updown-5m-1777207800,buy_down,0.17,0.22743253968253974,1.302816083237773,7.663624019045724,97.59190000000001,0.0,6.284171695617493,81.5959970172543
model_value_random_forest,quarter_kelly,2026-04-26 12:55:00+00:00,btc-updown-5m-1777208100,buy_up,0.33,0.4283887686387685,2.9955707732762233,9.077487191746132,3.4188,0.0,-3.086345645193685,78.50965137206062
model_value_random_forest,quarter_kelly,2026-04-26 13:05:02+00:00,btc-updown-5m-1777208700,buy_down,0.52,0.7434041976541976,9.135096704628113,17.567493662746372,29.3852,1.0,-9.310771641255577,69.19887973080503
model_value_random_forest,quarter_kelly,2026-04-26 13:10:01+00:00,btc-updown-5m-1777209000,buy_up,0.48,0.5773903318903322,3.2400489727991744,6.750102026664947,135.9072,1.0,3.442552033599123,72.64143176440416
model_value_random_forest,quarter_kelly,2026-04-26 13:15:01+00:00,btc-updown-5m-1777209300,buy_down,0.56,0.6133199855699856,2.2007045985574534,3.9298296402811665,32.4744,0.0,1.6898267453209015,74.33125850972506
model_value_random_forest,quarter_kelly,2026-04-26 13:20:01+00:00,btc-updown-5m-1777209600,buy_down,0.65,0.9040423280423281,13.488061398661904,20.75086369024908,66.95,0.0,7.055293654684686,81.38655216440975
model_value_random_forest,quarter_kelly,2026-04-26 13:25:01+00:00,btc-updown-5m-1777209900,buy_down,0.61,0.9646679894179895,18.50333642423944,30.333338400392524,90.00550000000001,1.0,-18.806669808243363,62.57988235616639
model_value_random_forest,quarter_kelly,2026-04-26 13:30:02+00:00,btc-updown-5m-1777210200,buy_down,0.52,0.589083573833574,2.2516885016919765,4.330170195561493,149.3492,1.0,-2.2949902036475915,60.28489215251879
model_value_random_forest,quarter_kelly,2026-04-26 13:35:01+00:00,btc-updown-5m-1777210500,buy_down,0.73,0.8001109908609908,3.913549558112094,5.361026791934376,277.9986,1.0,-3.9671598260314376,56.31773232648736
model_value_random_forest,quarter_kelly,2026-04-26 13:40:01+00:00,btc-updown-5m-1777210800,buy_down,0.77,0.8499986772486772,4.897113143221798,6.359887198989348,56.441,0.0,1.3991751837776567,57.71690751026502
model_value_random_forest,quarter_kelly,2026-04-26 13:50:02+00:00,btc-updown-5m-1777211400,buy_down,0.57,0.7207531265031264,5.058723406548971,8.874953344822757,11.399999999999999,1.0,-5.147472939997199,52.569434570267816
model_value_random_forest,quarter_kelly,2026-04-26 13:55:00+00:00,btc-updown-5m-1777211700,buy_down,0.59,0.7366928441928442,4.702170655318424,7.969780771726143,11.3929,1.0,-4.781868463035686,47.78756610723213
model_value_random_forest,quarter_kelly,2026-04-26 14:00:02+00:00,btc-updown-5m-1777212000,buy_up,0.09,0.2794748677248677,2.4875117491926315,27.639019435473685,35.8569,0.0,-2.7639019435473684,45.023664163684764
model_value_random_forest,quarter_kelly,2026-04-26 14:05:01+00:00,btc-updown-5m-1777212300,buy_up,0.08,0.22927248677248685,1.8263028025332944,22.82878503166618,25.487199999999998,1.0,20.774194378816222,65.79785854250099
model_value_random_forest,quarter_kelly,2026-04-26 14:10:01+00:00,btc-updown-5m-1777212600,buy_up,0.28,0.3180336977836978,0.8689360647986035,3.103343088566441,172.65080000000003,1.0,2.203373592882173,68.00123213538316
model_value_random_forest,quarter_kelly,2026-04-26 14:15:01+00:00,btc-updown-5m-1777212900,buy_down,0.78,0.8518906926406926,5.5552905439013855,7.122167363976135,135.3066,1.0,-5.626512217541147,62.374719917842015
model_value_random_forest,quarter_kelly,2026-04-26 14:20:02+00:00,btc-updown-5m-1777213200,buy_down,0.09,0.2530740740740741,2.794422993470273,31.049144371891924,7.6175999999999995,1.0,-3.1049144371891924,59.26980548065282
model_value_random_forest,quarter_kelly,2026-04-26 14:25:00+00:00,btc-updown-5m-1777213500,buy_down,0.61,0.7207698412698413,4.2085300930681315,6.899229660767429,114.1371,1.0,-4.277522389675806,54.99228309097701
model_value_random_forest,quarter_kelly,2026-04-26 14:30:01+00:00,btc-updown-5m-1777213800,buy_up,0.31,0.35278174603174617,0.8524151771391552,2.7497263778682424,9.3,0.0,-0.8799124409178376,54.11237065005918
model_value_random_forest,quarter_kelly,2026-04-26 14:35:01+00:00,btc-updown-5m-1777214100,buy_down,0.72,0.7859463684463684,3.1861735110671945,4.425240987593326,213.99119999999996,1.0,-3.230425920943128,50.88194472911605
