strategy,sizing,entry_minute,remaining_minutes,first_quote_ts,slug,side,target_cost,shares,entry_price,pnl_usd,bankroll_after
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 10:25:00+00:00,btc-updown-5m-1777199100,buy_down,30.476238701429732,37.624986051147815,0.81,6.7724974892066045,128.67745229492553
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 10:30:01+00:00,btc-updown-5m-1777199400,buy_down,32.16936307373138,39.2309305777212,0.82,-32.5616723795086,96.11577991541694
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 10:40:02+00:00,btc-updown-5m-1777200000,buy_down,24.028944978854234,33.373534692853106,0.72,9.010854367070339,105.12663428248727
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 11:15:01+00:00,btc-updown-5m-1777202100,buy_down,26.28165857062182,34.13202411769067,0.77,7.509045305891946,112.63567958837922
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 11:30:01+00:00,btc-updown-5m-1777203000,buy_down,4.2529,5.990000000000001,0.71,1.6772000000000005,114.31287958837922
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 11:35:02+00:00,btc-updown-5m-1777203300,buy_down,28.578219897094804,35.2817529593763,0.81,6.350715532687731,120.66359512106695
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 11:45:01+00:00,btc-updown-5m-1777203900,buy_down,30.165898780266737,38.674229205470176,0.78,-30.55264107232144,90.11095404874551
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 12:10:01+00:00,btc-updown-5m-1777205400,buy_down,22.527738512186378,25.599702854757247,0.88,2.8159673140232973,92.92692136276881
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 12:40:01+00:00,btc-updown-5m-1777207200,buy_down,23.231730340692202,29.03966292586525,0.8,5.517535955914396,98.4444573186832
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 13:20:01+00:00,btc-updown-5m-1777209600,buy_down,24.6111143296708,37.86325281487815,0.65,12.87350595705857,111.31796327574177
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 13:35:01+00:00,btc-updown-5m-1777210500,buy_down,27.829490818935444,38.12259016292526,0.73,-28.210716720564694,83.10724655517708
